Constellation,RA(deg),Dec(deg),Vmag
Aquila,303.56924451093005,15.197607338079997,4.946000099182129
Aquila,298.1182038432421,1.0056588834763889,3.799999952316284
Ara,265.09927324399,-49.41558312680999,4.769999980926514
Ara,254.65505223357658,-55.9901388628425,3.0759999752044678
Ara,261.3249491888263,-55.529881687777774,2.8499999046325684
Ara,254.89603381878214,-53.16043786885306,4.050000190734863
Ara,252.44648454732086,-59.041379347122216,3.74399995803833
Ara,261.3485804629167,-56.37772632638889,3.3399999141693115
Ara,271.6577841442801,-50.09147988308306,3.6600000858306885
Ara,262.77463997460376,-60.68384495524666,3.619999885559082
Ara,262.9603813675,-49.87614501138889,2.950000047683716
Ara,263.9149639867754,-46.50568440305083,4.590000152587891
Aries,28.66004578884514,20.808031471916408,2.6500000953674316
Aries,31.793357099576554,23.46241755020095,2.009999990463257
